Tier,Business,Trade,Web Presence,Fit,Recommended Template,Contact Channel,Contact (fill in),Qualified? (Y/N),Status,Date Sent,Follow-up 1 (Day 3),Follow-up 2 (Day 10),Follow-up 3 (Day 17),Replied? (Y/N),Notes
A,Shwash (Mobile Wash),Mobile car detailing,Facebook only,Excellent,T1 / T3,FB Messenger or phone,,,Not started,,,,,,Strongest fit - no website
A,ATX Clean Pressure Washing LLC,Pressure washing,Facebook only,Excellent,T1 / T3,FB Messenger or phone,,,Not started,,,,,,Licensed+insured per FB
A,Cleanup Junkies,Junk removal,Facebook only,Excellent,T1 / T3,FB Messenger or phone,,,Not started,,,,,,
A,Capital Mobile Detailing & Pressure Washing,Detailing + pressure washing,Thumbtack/Yelp only,Excellent,T1 / T4,Thumbtack/Yelp message or phone,,,Not started,,,,,,
A,Texas A&B Services (Brandon),Lawn care,Word-of-mouth / minimal,Good,T1 / T6,Find FB/Google listing,,,Not started,,,,,,Verify web presence
A,Clean By Kimberly,House cleaning,Social / owner-run,Good,T1,Find FB/IG listing,,,Not started,,,,,,Verify before pitch
B,Tejas Electric,Electrician,Has site (est 2018),Medium,T4 (+app),Site contact form / email,,,Not started,,,,,,Pitch +$249 app
B,Detail Mavericks ATX,Mobile detailing,Has site,Medium,T4,Site contact form / email,,,Not started,,,,,,
B,Bobby's Custom Detailing,Detailing + PW,Has site,Medium,T4,Site contact form / email,,,Not started,,,,,,
B,Order My Maid,House cleaning,Thumbtack-heavy,Medium,T4,Thumbtack / site,,,Not started,,,,,,Owner Vered 15+ yrs
B,Adams Lawn Service,Landscaping/pavers/sod,Has site,Medium,T4,Site contact form / email,,,Not started,,,,,,
B,Top Choice Lawn Care,Lawn care,Has site,Medium,T4,Site contact form / phone,,,Not started,,,,,,
B,512 Landscaping,Full-service landscaping,Has site,Medium,T4 (+app),Site contact form / email,,,Not started,,,,,,
B,Austin Plumbery,Plumbing,Has site,Medium,T4 (+app),Site contact form / email,,,Not started,,,,,,Strong app upsell
B,YardDoc,Landscaping / multi-service,Has site,Medium,T4,Site contact form / email,,,Not started,,,,,,
C,Grass Works Lawn Care,Lawn / landscaping,Established site (2007),Low,T4 (app only),Site contact form,,,Not started,,,,,,Volume only
C,Moore & More Plumbing,Plumbing,Established site (1986),Low,T4 (app only),Site contact form,,,Not started,,,,,,Low priority
C,Johnny Rooter Plumbing,Plumbing,Established site,Low,T4 (app only),Site contact form,,,Not started,,,,,,Low priority
C,Ranchers Fencing & Landscaping,Fencing + landscaping,Established site (2010),Low,T4 (app only),Site contact form,,,Not started,,,,,,Redesign/app only
C,Romex Pest Control (Austin),Pest control,Multi-location chain,Skip,-,-,,,Skip,,,,,,No local decision-maker - likely skip
